contigName	contigLen	totalAvgDepth	Specific1_Cen01_95.bam	Specific1_Cen01_95.bam-var	Specific1_Cen03_95.bam	Specific1_Cen03_95.bam-var	Specific1_Cen04_95.bam	Specific1_Cen04_95.bam-var	Specific1_Cen05_95.bam	Specific1_Cen05_95.bam-var	Specific1_Cen06_95.bam	Specific1_Cen06_95.bam-var	Specific1_Cen07_95.bam	Specific1_Cen07_95.bam-var	Specific1_Cen10_95.bam	Specific1_Cen10_95.bam-var	Specific1_Cen12_95.bam	Specific1_Cen12_95.bam-var	Specific1_Cen13_95.bam	Specific1_Cen13_95.bam-var	Specific1_Cen14_95.bam	Specific1_Cen14_95.bam-var	Specific1_Cen15_95.bam	Specific1_Cen15_95.bam-var	Specific1_Cen16_95.bam	Specific1_Cen16_95.bam-var	Specific1_Cen17_95.bam	Specific1_Cen17_95.bam-var
PROKKA_00296 hypothetical protein	354	59.6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6324	82.1006	7.89706	2.23092	3.01961	0.188617	20.1912	20.4764	0	0
PROKKA_00297 Outer membrane cobalamin translocator	2016	66.7379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.9416	48.2089	8.51715	16.0162	3.0134	4.32119	15.5038	29.9524	0	0
PROKKA_00298 hypothetical protein	1587	70.8697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.8887	39.9664	8.82463	8.50754	3.41267	5.26342	16.4509	7.49666	0	0
PROKKA_00299 hypothetical protein	879	68.0604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.284	37.9426	6.84225	7.25663	2.11797	1.35733	19.048	39.967	0	0
PROKKA_00300 Amidohydrolase	780	66.8883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.0952	97.1388	10.4302	11.2277	4.58571	2.03115	14.4524	8.27774	0	0
PROKKA_00301 YCII-related domain protein	357	61.9414	0	0	0	0	0	0	0	0	0	0	0	0	0.729469	0.198302	0	0	33.9952	72.3027	14.0531	2.58126	0.618357	0.237138	22.9034	14.2448	0	0
PROKKA_00302 YCII-related domain protein	363	51.2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8028	20.1062	6.26291	6.23111	4.86854	2.09677	17.6244	19.8896	0	0
PROKKA_00303 Ycf48-like protein	1185	67.7038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3652	35.3427	8.55072	16.2326	3.35942	3.28969	14.6928	9.6604	0	0
PROKKA_00304 hypothetical protein	297	42.3257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6327	33.3925	6.69388	1.34703	4.04762	1.24658	10.9184	7.86478	0	0
PROKKA_00305 hypothetical protein	600	62.0554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.2578	47.8303	7.96444	3.41402	2.55556	1.85497	15.0511	5.02214	0	0
PROKKA_00306 hypothetical protein	360	60.7566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4381	41.6751	8.10476	1.67592	0	0	19.2286	21.6513	0	0
PROKKA_00307 RNA polymerase sigma factor	1266	58.5574	0	0	0	0	0	0	0	0	0	0	0	0	0.135305	0.117103	0	0	37.3521	55.1448	6.66487	3.56588	1.62007	3.6856	14.6013	8.91687	0	0
PROKKA_00308 hypothetical protein	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00309 Acyl-CoA thioester hydrolase YbgC	402	66.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.1032	134.233	7.96825	3.87225	3.11905	0.719726	17.5317	19.066	0	0
PROKKA_00310 CRISPR-associated protein	1263	70.9811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.0296	50.8837	8.85085	10.2671	1.23989	1.54048	19.0683	5.70397	0	0
PROKKA_00311 Phosphoheptose isomerase	579	62.2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.6503	220.461	8.45221	6.19667	3.39627	2.75099	20.8182	12.0445	0	0
PROKKA_00312 hypothetical protein	996	67.379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6962	87.2644	9.96572	7.3633	4.17849	2.76833	13.2955	5.59705	0	0
PROKKA_00313 SprT-like family protein	624	57.5877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.1899	143.959	8.29536	20.4884	2.47679	0.926777	18.5148	26.0579	0.316456	0.217541
PROKKA_00314 hypothetical protein	297	46.7086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.4082	141.464	5.58503	0.836177	0.857143	0.123288	12.8571	3.72724	0	0
PROKKA_00315 hypothetical protein	354	44.9887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8627	14.1711	9.28431	3.2718	0	0	12.4755	15.2102	0	0
PROKKA_00316 hypothetical protein	186	9.77124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72222	0	4.91667	0	1	0	5.52778	0	0	0
PROKKA_00317 Bifunctional protein HldE	495	47.6509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.9565	44.0731	5.35072	1.66569	0.24058	0.183232	9.88406	2.60735	0	0
PROKKA_00318 Transcription-repair-coupling factor	3486	70.4352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.506	80.7486	9.1244	9.75048	2.35102	1.88589	20.1847	21.6777	0	0
PROKKA_00319 Foldase protein PrsA 2 precursor	939	72.4525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.1838	50.9382	8.96451	10.9283	2.18631	2.54715	20.2966	18.5348	0	0
PROKKA_00320 Peptidyl-prolyl cis-trans isomerase SurA	906	70.4767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.1402	140.354	12.0053	8.06548	3.26587	2.37598	19.2923	23.6205	0	0
PROKKA_00321 hypothetical protein	1137	61.6651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.8389	57.1066	6.36272	5.3328	2.29078	0.843779	13.3354	9.13636	0	0
PROKKA_00322 hypothetical protein	570	58.7838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3857	37.4946	8.06667	3.82092	1.2619	1.8501	16.9143	5.7303	0	0
PROKKA_00323 AIG2-like family protein	447	54.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3199	45.3721	7.95623	2.95941	2.85859	2.17038	12.3131	15.3069	0	0
PROKKA_00324 phosphate ABC transporter ATP-binding protein	1092	74.3763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.6794	76.9989	8.95011	22.7963	1.38747	0.813659	18.0924	26.1041	0	0
PROKKA_00325 hypothetical protein	630	63.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.1417	44.8776	8.29375	14.057	1.32292	2.69238	18.5729	2.3954	0	0
PROKKA_00326 dTDP-4-dehydrorhamnose reductase	864	71.0779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4972	119.237	10.2857	9.94014	3.92157	3.17357	16.8193	8.50895	0	0
PROKKA_00327 putative membrane protein	795	62.2131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.2124	285.022	5.23721	1.88473	2.76899	3.25681	20.3333	18.8947	0	0
PROKKA_00328 tol-pal system protein YbgF	225	30.6435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.9867	3.64865	6.49333	0.474955	0.96	0	13.3467	0.225225	0	0
PROKKA_00329 putative transcriptional regulator containing an HTH domain fused to a Zn-ribbon	300	37.1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.8533	25.4489	4.75333	1.78564	1.51333	0.707651	11.6533	6.16291	0	0
PROKKA_00330 Glycerophosphoryl diester phosphodiesterase precursor	1035	77.6303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.9797	57.86	11.1333	19.9727	4.05424	3.67104	23.4994	40.8975	0	0
PROKKA_00331 magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase	1545	72.2628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1771	45.2123	9.77491	10.381	2.36989	3.83132	16.7341	14.4181	0	0
PROKKA_00332 protease TldD	1467	60.8753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5991	84.599	6.53531	6.87594	1.44799	2.33061	14.8929	17.0158	0	0
PROKKA_00333 peptidase PmbA	1341	57.6453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5122	41.2361	7.72376	10.2684	2.9194	1.34443	14.1654	9.23725	0	0
PROKKA_00334 hypothetical protein	177	6.08614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40741	0	1.81481	0	2.40741	0	4.25926	0	0	0
PROKKA_00335 hypothetical protein	585	65.1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8046	96.4698	12.7908	19.4384	3.7931	0.496243	15.9471	11.1633	0	0
PROKKA_00336 hypothetical protein	936	56.8732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6501	66.9758	8.92239	4.27932	2.17939	1.25126	17.626	10.146	0	0
PROKKA_00337 hypothetical protein	2529	67.8754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.7331	74.1402	10.3522	12.2498	3.48508	6.03482	16.2295	13.2126	0.0630517	0.059468
PROKKA_00338 hypothetical protein	1785	65.4396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.5755	106.514	8.82263	9.59207	1.3682	2.28502	13.0587	9.37358	0	0
PROKKA_00339 Transcriptional regulatory protein ZraR	2202	65.8785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.9162	44.7561	7.54532	9.94832	2.9654	4.18796	16.5629	12.8705	0	0
PROKKA_00340 hypothetical protein	696	69.9826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.6612	75.6201	7.90842	12.6265	2.26923	2.14887	11.5806	24.4193	0	0
PROKKA_00341 DNA mismatch repair protein MutS	1902	63.3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3693	82.0076	9.19463	9.40388	2.43094	2.00707	17.5594	38.3738	0	0
PROKKA_00342 Ribosomal protein L11 methyltransferase	864	70.9309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.619	52.1128	6.16247	2.08493	3.79412	2.59007	18.7941	12.4779	0	0
PROKKA_00343 molybdenum cofactor biosynthesis protein MoaC/MOSC-domain-containing protein	480	60.1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.8939	58.5748	11.0424	5.83177	1.37273	1.26794	21.097	19.9357	0	0
PROKKA_00344 Demethylrebeccamycin-D-glucose O-methyltransferase	660	53.5883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8118	42.4739	9.91765	4.82808	2.36078	7.87956	15.1353	9.66272	0	0
PROKKA_00345 Serine/threonine-protein kinase pkn1	873	55.1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.408	38.6126	7.88243	9.40032	1.03734	0.49689	14.5145	11.808	0	0
PROKKA_00346 hypothetical protein	459	43.5196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.2686	52.6447	7.28155	8.6894	0.249191	0.187702	12.6828	3.18405	0.912621	0.162778
PROKKA_00347 acetoin dehydrogenase E2 subunit dihydrolipoyllysine-residue acetyltransferase	822	69.973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.7545	53.3797	7.5997	8.19629	2.69196	4.08356	16.5312	8.94929	0	0
PROKKA_00348 hypothetical protein	783	70.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.1722	62.8062	10.4787	7.8957	5.36335	1.03399	22.8262	35.3374	0	0
PROKKA_00349 hypothetical protein	618	48.5381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.9765	25.3672	8.11966	7.23375	1.75427	1.16316	12.2778	11.0448	0	0
PROKKA_00350 Uroporphyrinogen decarboxylase	1026	64.8232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.4943	173.394	8.52055	8.37057	2.38927	5.12816	13.9806	10.8145	0	0
PROKKA_00351 hypothetical protein	468	62.7511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.6918	17.7908	12.1006	11.4537	2.08805	1.17419	15.7013	9.01414	0	0
PROKKA_00352 carboxylate/amino acid/amine transporter	876	69.7396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.1295	112.13	13.0096	15.9343	2.06887	0.567836	17.8567	23.1931	0	0
PROKKA_00353 hypothetical protein	204	21.362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.2222	0	4.83333	0	0	0	2	0	0	0
PROKKA_00354 hypothetical protein	177	12.3508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1852	0	3.2963	0	0.740741	0	7.96296	0	0	0
PROKKA_00355 putative regulatory protein, FmdB family	330	56.6409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0778	56.2216	9.52222	5.65398	3.73333	1.08516	14.2	10.8896	0	0
PROKKA_00356 Phosphate-binding protein PstS 2 precursor	828	71.7554	0	0	0	0	0	0	0	0	0	0	0	0	0.0737463	0.0844106	0	0	40.056	53.2856	8.00737	13.7999	4.40708	2.25536	22.8746	25.6997	0	0
PROKKA_00357 IPT/TIG domain protein	453	58.537	0	0	0	0	0	0	0	0	0	0	0	0	0.178218	0.169061	0	0	37.5941	22.9795	7.70627	4.78953	2.70627	1.74555	17.0396	8.46937	0	0
PROKKA_00358 2-oxoglutarate carboxylase small subunit	1419	80.9932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9464	90.6884	8.62017	7.35363	3.13239	5.44361	19.5035	18.7557	0	0
PROKKA_00359 2-oxoglutarate carboxylase large subunit	1953	69.1636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2074	92.5976	10.5502	12.1111	2.2751	5.4836	17.4587	27.6469	0	0
PROKKA_00360 2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	963	63.0463	0	0	0	0	0	0	0	0	0	0	0	0	0.371464	0.238693	0	0	36.0271	75.8568	8.89422	6.91385	2.67528	2.984	17.5818	12.9148	0.180812	0.151425
PROKKA_00361 putative thiol peroxidase	669	71.1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1233	74.9798	8.55106	6.74911	2.57611	1.07093	19.6532	24.8035	0	0
PROKKA_00362 DNA polymerase III subunit gamma/tau	1038	76.1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.6622	77.9931	8.60248	14.4733	2.83896	4.4207	18.9673	17.8098	0	0
PROKKA_00363 Thymidylate kinase	708	62.9531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.0358	66.6102	7.92652	6.4615	3.95161	3.64157	16.9444	41.1292	0	0
PROKKA_00364 hypothetical protein	678	63.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.2405	38.3996	4.90152	6.75759	1.93371	0.999192	16.858	9.53602	0	0
PROKKA_00365 Bifunctional protein GlmU	1671	71.3261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.6193	98.668	8.75016	5.64032	1.73241	3.32717	16.8475	21.7452	0	0
PROKKA_00366 Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	1830	67.9383	0	0	0	0	0	0	0	0	0	0	0	0	0.146429	0.227515	0	0	42.1899	75.1396	9.71012	12.3695	2.68869	3.00724	14.603	11.798	0	0
PROKKA_00367 Glutamyl-tRNA(Gln) amidotransferase subunit C	318	51.1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.4524	42.0586	6.30952	5.60865	2.58929	0.217244	17.3333	12.4875	0	0
PROKKA_00368 Aspartate 1-decarboxylase precursor	372	61.7422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.491	34.7413	10.6757	6.60717	5.06757	3.60613	17.1351	12.9655	0	0
PROKKA_00369 Glutamyl-tRNA(Gln) amidotransferase subunit A	1467	69.977	0	0	0	0	0	0	0	0	0	0	0	0	0.22779	0.228532	0	0	40.1215	50.6759	10.5505	10.384	4.45027	6.02914	16.4662	17.0204	0	0
PROKKA_00370 putative protein containing a divergent version of the methyl-accepting chemotaxis-like domain protein	414	61.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5379	93.4267	5.88636	2.05877	2.30682	1.32521	15.5341	17.682	0	0
PROKKA_00371 Gas vesicle protein	321	54.4706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.9708	71.4089	4.23392	2.11545	1.23977	0.186377	15.0526	7.48669	0	0
PROKKA_00372 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	1431	71.3164	0	0	0	0	0	0	0	0	0	0	0	0	0.235753	0.245935	0	0	44.1616	51.1345	8.65574	11.5153	2.2943	4.35543	17.8962	25.1011	0	0
PROKKA_00373 hypothetical protein	231	36.6993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.716	11.4444	4.93827	0.058642	2.18519	0.452778	10.5432	0.78642	0	0
PROKKA_00374 hypothetical protein	153	0.239264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PROKKA_00375 hypothetical protein	306	62.9592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3846	71.2819	11.3974	10.5082	3.55769	2.02329	14.5897	5.30963	0	0
PROKKA_00376 YgiT-type zinc finger domain protein	231	42.2695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7654	6.7611	15.2222	0.526234	0.950617	0.0475308	14.3951	2.02253	0	0
PROKKA_00377 hypothetical protein	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00378 hypothetical protein	228	32.4023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.8974	3.64569	2.92308	0.049284	1.71795	0.131868	17.2436	0.948551	0	0
PROKKA_00379 hypothetical protein	384	52.0633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.9103	34.0886	10.0427	8.03816	1.95299	1.60486	10.859	6.47836	0	0
PROKKA_00380 hypothetical protein	222	21.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9444	0.950704	3.61111	0.121283	2.80556	0.0655321	7.02778	0.410015	0	0
PROKKA_00381 Plasmid stabilisation system protein	279	63.6737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.4186	51.0262	15.8605	12.8279	4.14729	0.621124	16.3333	9.57971	0	0
PROKKA_00382 hypothetical protein	189	16.5862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6154	0	1.84615	0	0.74359	0	7.10256	0	0	0
PROKKA_00383 hypothetical protein	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00384 Serine/threonine-protein kinase pkn1	909	67.8339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6219	50.916	6.91568	3.29837	1.68248	2.07319	17.7075	14.4209	0	0
PROKKA_00385 bifunctional uroporphyrinogen-III synthetase/response regulator domain protein	852	75.2482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.2536	54.6377	9.08974	5.65714	3.04416	2.15484	18.5712	16.7921	0	0
PROKKA_00386 four helix bundle protein	240	45.7809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.6444	9.3628	13.1444	3.13658	1	0	15.6	2.69425	0	0
PROKKA_00387 Serine/threonine-protein kinase pkn1	855	71.4588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6099	131.531	8.87092	7.74045	3.31915	1.99098	20.1674	18.0788	0	0
PROKKA_00388 lactoylglutathione lyase	423	61.2388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9817	14.3297	14.8242	22.5082	2.86447	2.87688	18.3333	7.07266	0	0
PROKKA_00389 hypothetical protein	1647	67.8316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.4282	63.334	11.3527	13.7132	3.56112	2.34929	15.0581	15.7322	0	0
PROKKA_00390 UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase	1605	74.6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.5086	83.796	8.69691	13.9139	1.81993	1.34553	18.3649	20.9945	0	0
PROKKA_00391 UDP-glucose 4-epimerase	1059	68.8194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5038	73.8984	8.9868	6.05356	5.0033	14.738	17.9461	23.196	0	0
PROKKA_00392 Phosphorylated carbohydrates phosphatase	720	62.0212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.1877	50.5365	9.34912	9.7195	1.1	1.11652	19.1509	18.145	0	0
PROKKA_00393 Inner membrane protein YbaL	2007	73.2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.9235	72.8346	8.09208	15.8416	3.10016	2.7749	16.49	17.4916	0	0
PROKKA_00394 Lon protease	723	57.7076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.5096	44.9568	8.43979	3.67223	4.59511	5.9638	14.6492	12.2387	0	0
PROKKA_00395 Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1	1164	74.3828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.5128	131.192	10.5947	3.87246	2.85306	2.1349	16.9615	35.3265	0	0
PROKKA_00396 hypothetical protein	531	68.6789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0577	35.3835	8.26247	1.97192	2.89501	2.02359	9.70341	3.78045	0	0
PROKKA_00397 Sulfurtransferase TusA	246	43.7697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9479	17.3364	8.48958	3.90252	1.83333	0.224562	16.2812	13.2561	0	0
PROKKA_00398 hypothetical protein	354	65.3353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.1422	31.2201	14.0343	9.03265	2.4902	0.250627	23.7549	49.7043	0	0
PROKKA_00399 hypothetical protein	342	44.6704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.6823	19.9548	3.09375	1.92627	0.541667	0.249563	15.4062	8.04712	0	0
PROKKA_00400 Imidazolonepropionase	1272	71.1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.1613	50.7013	10.8405	12.0319	2.13904	2.02436	18.1747	18.8745	0	0
PROKKA_00401 Methenyltetrahydrofolate cyclohydrolase	1560	61.0502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.9411	55.1448	7.12269	9.99677	3.05674	3.62444	17.4284	24.4485	0	0
PROKKA_00402 hypothetical protein	195	22.4077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6667	0	3.64444	0	1.75556	0	11.5778	0	0	0
PROKKA_00403 Endonuclease III	660	51.6016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.4725	24.3518	5.36078	4.78201	3.10196	1.34592	14.1686	11.6656	0	0
PROKKA_00404 hypothetical protein	420	51.2646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1296	155.934	4.42963	0.84819	0.22963	0.190953	15.0481	6.00112	0	0
PROKKA_00405 Urocanate hydratase	1647	54.3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.994	86.7936	9.7976	10.4276	2.17836	3.28073	11.6045	8.81905	0	0
PROKKA_00406 hypothetical protein	417	70.2782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1798	22.056	15.4869	10.7274	0.921348	0.28439	17.8015	44.5638	0	0
PROKKA_00407 Histidine ammonia-lyase	1539	70.0435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.2419	126.047	6.96256	5.34028	3.84017	5.06456	14.7444	16.0768	0	0
PROKKA_00408 hypothetical protein	411	55.8868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3602	61.8567	10.2529	5.9183	3.18008	0.337695	15.5057	11.0475	0	0
PROKKA_00409 DNA polymerase I	2724	69.9179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6053	58.9414	6.86208	9.55507	2.54545	5.26082	16.8454	41.9929	0	0
PROKKA_00410 hypothetical protein	1977	71.8005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.5276	66.5642	6.98467	10.9271	2.84127	2.02089	18.8073	23.083	0	0
PROKKA_00411 Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	786	74.5241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.2972	59.5479	13.261	7.61512	3.26101	2.19004	17.761	8.79634	0	0
PROKKA_00412 hypothetical protein	1275	66.0935	0	0	0	0	0	0	0	0	0	0	0	0	0.536889	0.636762	0	0	39.024	92.4779	9.94667	11.565	2.74489	4.20092	15.8747	12.3178	0	0
PROKKA_00413 hypothetical protein	627	43.9862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9686	47.6798	8.74633	10.9631	2.03354	0.591009	10.4298	5.34778	0	0
PROKKA_00414 hypothetical protein	1530	60.883	0.0550725	0.0540116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.5341	65.1394	10.5319	8.24404	1.22174	2.40938	17.0674	28.3011	0	0
PROKKA_00415 Type I phosphodiesterase / nucleotide pyrophosphatase	978	66.4004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.1715	145.777	9.16304	8.35436	3.02778	4.09929	13.814	15.2375	0	0
PROKKA_00416 hypothetical protein	456	50.9225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.0523	34.6231	2.2451	0.934832	4.18627	0.867589	14.1993	15.5999	0	0
PROKKA_00417 Phycocyanobilin lyase subunit alpha	1368	72.8899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.9869	60.895	6.84893	13.1137	2.91379	4.10111	18.2118	8.03092	0	0
PROKKA_00418 hypothetical protein	1251	77.7226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.8874	48.9876	8.48774	9.8792	2.96367	3.78088	19.8274	21.713	0	0
PROKKA_00419 putative lyase	1116	66.4461	0	0	0	0	0	0	0	0	0	0	0	0	0.273292	0.333515	0	0	40.734	102.423	9.73395	10.7402	2.03416	4.00769	16.0518	22.0099	0	0
PROKKA_00420 putative oxidoreductase/HEAT repeat-containing protein	1101	76.9347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8086	67.1252	9.2734	10.5081	5.11987	6.34906	18.5331	22.578	0	0
PROKKA_00421 Phycocyanobilin lyase subunit alpha	774	67.5797	0	0	0	0	0	0	0	0	0	0	0	0	0.347756	0.262128	0	0	45.9679	90.7979	5.98237	1.6645	0.823718	1.07437	18.2067	17.0475	0	0
PROKKA_00422 PBS lyase HEAT-like repeat	720	62.0494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7053	120.025	6.42281	7.2189	2.35789	0.70367	12.3316	14.1839	0	0
PROKKA_00423 UDP-glucose 6-dehydrogenase TuaD	1326	78.6757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.4991	73.6148	8.27296	4.79811	3.94133	10.8517	19.2781	13.901	0	0
